fill_number,start_stable_beam,end_stable_beam
7920,2022-07-05 14:47:08.000000,2022-07-06 00:03:32.000000
7921,2022-07-06 02:34:04.000000,2022-07-06 12:19:37.000000
7923,2022-07-07 00:21:03.000000,2022-07-07 10:44:09.000000
7960,2022-07-10 12:14:53.000000,2022-07-10 20:59:22.000000
7963,2022-07-11 02:27:26.000000,2022-07-11 12:12:05.000000
7965,2022-07-11 14:40:07.000000,2022-07-11 15:06:11.000000
7966,2022-07-11 17:18:58.000000,2022-07-11 22:37:37.000000
7967,2022-07-12 01:33:29.000000,2022-07-12 08:23:22.000000
7969,2022-07-13 00:37:45.000000,2022-07-13 04:29:22.000000
7978,2022-07-14 16:56:33.000000,2022-07-15 04:09:21.000000
8007,2022-07-18 03:13:17.000000,2022-07-18 07:21:52.000000
8016,2022-07-19 18:07:59.000000,2022-07-19 20:33:15.000000
8017,2022-07-19 22:59:34.000000,2022-07-20 07:21:51.000000
8018,2022-07-20 10:23:41.000000,2022-07-20 11:37:08.000000
8019,2022-07-20 14:17:14.000000,2022-07-20 16:04:09.000000
8020,2022-07-20 18:48:29.000000,2022-07-20 21:28:37.000000
8022,2022-07-21 01:54:44.000000,2022-07-21 04:34:10.000000
8023,2022-07-21 06:45:06.000000,2022-07-21 08:03:35.000000
8027,2022-07-21 23:02:09.000000,2022-07-22 05:32:01.000000
8030,2022-07-22 17:52:16.000000,2022-07-22 19:21:40.000000
8033,2022-07-23 12:41:34.000000,2022-07-23 21:04:29.000000
8043,2022-07-25 11:05:34.000000,2022-07-25 11:22:57.000000
8046,2022-07-25 17:43:49.000000,2022-07-25 19:55:34.000000
8057,2022-07-27 17:54:58.000000,2022-07-27 18:46:28.000000
8058,2022-07-27 21:39:06.000000,2022-07-27 22:51:44.000000
8059,2022-07-28 00:59:00.000000,2022-07-28 06:01:20.000000
8062,2022-07-28 16:45:46.000000,2022-07-28 17:00:37.000000
8063,2022-07-28 19:03:39.000000,2022-07-29 07:33:27.000000
8067,2022-07-29 13:49:24.000000,2022-07-29 19:42:56.000000
8068,2022-07-29 22:04:45.000000,2022-07-30 02:05:47.000000
8072,2022-07-30 09:55:44.000000,2022-07-30 22:27:56.000000
8073,2022-07-31 00:47:20.000000,2022-07-31 05:31:03.000000
8076,2022-07-31 18:50:53.000000,2022-08-01 02:35:51.000000
8078,2022-08-01 14:48:30.000000,2022-08-01 16:49:24.000000
8079,2022-08-01 18:51:43.000000,2022-08-01 21:29:32.000000
8081,2022-08-02 05:10:23.000000,2022-08-02 14:03:59.000000
8083,2022-08-02 18:10:05.000000,2022-08-03 04:49:07.000000
8087,2022-08-03 22:03:42.000000,2022-08-03 22:53:08.000000
8088,2022-08-04 01:04:59.000000,2022-08-04 11:37:16.000000
8091,2022-08-04 19:35:03.000000,2022-08-04 21:14:24.000000
8094,2022-08-05 02:19:08.000000,2022-08-05 11:10:34.000000
8098,2022-08-06 01:12:43.000000,2022-08-06 01:42:32.000000
8099,2022-08-06 03:55:45.000000,2022-08-06 04:35:08.000000
8100,2022-08-06 14:01:32.000000,2022-08-06 14:50:13.000000
8102,2022-08-06 17:25:35.000000,2022-08-07 08:07:11.000000
8103,2022-08-07 10:59:17.000000,2022-08-07 16:28:37.000000
8106,2022-08-08 05:44:59.000000,2022-08-08 09:10:52.000000
8108,2022-08-08 16:49:10.000000,2022-08-08 16:51:20.000000
8111,2022-08-09 00:57:54.000000,2022-08-09 01:04:05.000000
8112,2022-08-09 02:54:44.000000,2022-08-09 14:10:35.000000
8113,2022-08-09 16:54:11.000000,2022-08-10 00:33:26.000000
8115,2022-08-10 19:32:59.000000,2022-08-11 06:26:03.000000
8118,2022-08-11 19:44:56.000000,2022-08-12 06:05:27.000000
8120,2022-08-12 18:56:33.000000,2022-08-12 22:59:45.000000
8121,2022-08-13 02:46:35.000000,2022-08-13 03:46:55.000000
8124,2022-08-13 14:36:28.000000,2022-08-14 04:03:14.000000
8125,2022-08-14 06:44:31.000000,2022-08-14 06:54:19.000000
8128,2022-08-14 18:41:00.000000,2022-08-14 18:53:26.000000
8132,2022-08-15 20:36:28.000000,2022-08-15 22:52:01.000000
8136,2022-08-17 05:33:42.000000,2022-08-17 16:07:08.000000
8142,2022-08-19 00:50:59.000000,2022-08-19 03:49:27.000000
8143,2022-08-19 06:52:41.000000,2022-08-19 21:19:34.000000
8144,2022-08-19 23:21:27.000000,2022-08-19 23:55:04.000000
8146,2022-08-20 10:00:54.000000,2022-08-20 20:21:42.000000
8147,2022-08-20 22:51:54.000000,2022-08-21 03:48:27.000000
8148,2022-08-21 07:26:45.000000,2022-08-21 17:52:10.000000
8149,2022-08-21 20:58:38.000000,2022-08-22 12:13:00.000000
8151,2022-08-22 23:40:34.000000,2022-08-23 12:05:30.000000
8177,2022-09-23 16:43:46.000000,2022-09-23 20:04:39.000000
8178,2022-09-23 22:21:15.000000,2022-09-26 07:43:48.000000
8181,2022-09-26 15:53:44.000000,2022-09-26 19:30:59.000000
8184,2022-09-27 00:27:15.000000,2022-09-27 00:41:28.000000
8210,2022-09-29 14:22:04.000000,2022-09-29 21:11:24.000000
8211,2022-09-30 00:52:51.000000,2022-09-30 03:24:01.000000
8212,2022-09-30 05:17:22.000000,2022-09-30 08:42:39.000000
8214,2022-09-30 14:54:04.000000,2022-09-30 17:31:59.000000
8216,2022-09-30 20:47:04.000000,2022-10-01 05:14:31.000000
8220,2022-10-01 10:45:49.000000,2022-10-01 23:15:43.000000
8221,2022-10-02 02:38:47.000000,2022-10-02 15:23:50.000000
8222,2022-10-02 18:37:44.000000,2022-10-02 23:17:57.000000
8223,2022-10-03 11:37:34.000000,2022-10-03 19:25:46.000000
8225,2022-10-03 23:14:15.000000,2022-10-04 11:09:19.000000
8226,2022-10-04 13:34:57.000000,2022-10-04 15:45:42.000000
8228,2022-10-04 22:41:26.000000,2022-10-05 07:11:05.000000
8230,2022-10-05 18:53:34.000000,2022-10-05 20:42:26.000000
8232,2022-10-06 05:07:28.000000,2022-10-06 08:14:19.000000
8233,2022-10-06 10:24:32.000000,2022-10-06 13:00:40.000000
8236,2022-10-07 16:17:22.000000,2022-10-08 04:34:08.000000
8238,2022-10-08 11:20:56.000000,2022-10-08 21:31:59.000000
8245,2022-10-09 20:40:36.000000,2022-10-10 09:31:18.000000
8247,2022-10-10 13:52:35.000000,2022-10-11 03:22:49.000000
8248,2022-10-11 05:30:53.000000,2022-10-11 10:23:07.000000
8253,2022-10-12 01:08:01.000000,2022-10-12 05:02:56.000000
8260,2022-10-13 02:44:08.000000,2022-10-13 15:31:59.000000
8263,2022-10-14 00:25:21.000000,2022-10-14 02:42:56.000000
8267,2022-10-14 20:28:33.000000,2022-10-14 22:24:32.000000
8269,2022-10-15 02:46:50.000000,2022-10-15 03:18:21.000000
8272,2022-10-15 09:29:38.000000,2022-10-15 10:07:59.000000
8273,2022-10-15 13:02:00.000000,2022-10-15 17:41:07.000000
8274,2022-10-15 20:23:39.000000,2022-10-16 13:29:37.000000
8276,2022-10-16 17:00:47.000000,2022-10-17 04:55:03.000000
8289,2022-10-19 10:34:43.000000,2022-10-19 10:42:56.000000
8293,2022-10-19 15:02:08.000000,2022-10-19 16:03:37.000000
8295,2022-10-19 23:56:38.000000,2022-10-20 10:48:49.000000
8297,2022-10-20 13:44:45.000000,2022-10-20 23:26:27.000000
8299,2022-10-21 11:12:13.000000,2022-10-21 11:34:49.000000
8301,2022-10-21 16:53:18.000000,2022-10-21 20:11:33.000000
8302,2022-10-21 22:36:43.000000,2022-10-22 12:08:56.000000
8304,2022-10-22 16:01:09.000000,2022-10-22 22:42:17.000000
8305,2022-10-23 01:06:14.000000,2022-10-23 13:25:20.000000
8306,2022-10-23 15:35:19.000000,2022-10-24 04:52:08.000000
8307,2022-10-24 10:23:14.000000,2022-10-24 12:37:00.000000
8309,2022-10-24 17:04:38.000000,2022-10-24 19:47:50.000000
8311,2022-10-25 00:02:55.000000,2022-10-25 12:08:00.000000
8312,2022-10-25 14:24:08.000000,2022-10-25 14:46:12.000000
8313,2022-10-25 16:39:35.000000,2022-10-25 19:17:02.000000
8314,2022-10-25 23:34:52.000000,2022-10-26 05:02:27.000000
8315,2022-10-26 18:30:53.000000,2022-10-27 10:41:21.000000
8316,2022-10-27 13:21:06.000000,2022-10-27 17:51:54.000000
8317,2022-10-27 20:29:05.000000,2022-10-28 10:01:52.000000
8319,2022-10-28 12:53:38.000000,2022-10-28 16:15:32.000000
8320,2022-10-28 20:08:27.000000,2022-10-29 02:12:01.000000
8321,2022-10-29 06:02:42.000000,2022-10-29 20:36:20.000000
8322,2022-10-29 23:23:16.000000,2022-10-30 06:11:32.000000
8324,2022-10-30 10:05:22.000000,2022-10-30 12:04:03.000000
8327,2022-10-31 02:34:53.000000,2022-10-31 09:01:38.000000
8330,2022-10-31 17:19:28.000000,2022-10-31 20:17:58.000000
8331,2022-11-01 04:23:52.000000,2022-11-01 14:55:13.000000
8333,2022-11-01 18:10:37.000000,2022-11-02 08:57:25.000000
8334,2022-11-02 11:34:22.000000,2022-11-02 23:46:04.000000
8335,2022-11-03 02:17:00.000000,2022-11-03 10:18:35.000000
8342,2022-11-03 20:41:44.000000,2022-11-04 06:43:08.000000
8345,2022-11-04 21:56:57.000000,2022-11-05 03:47:02.000000
8347,2022-11-05 08:30:38.000000,2022-11-05 16:59:21.000000
8379,2022-11-10 00:05:50.000000,2022-11-10 16:47:56.000000
8381,2022-11-10 19:31:48.000000,2022-11-11 19:02:07.000000
8383,2022-11-11 22:06:50.000000,2022-11-12 00:24:20.000000
8385,2022-11-12 03:06:36.000000,2022-11-12 15:09:18.000000
8387,2022-11-12 17:50:44.000000,2022-11-13 09:07:56.000000
8389,2022-11-13 14:15:45.000000,2022-11-13 17:24:36.000000
8392,2022-11-14 08:33:40.000000,2022-11-14 08:42:15.000000
8395,2022-11-14 15:59:56.000000,2022-11-15 05:39:10.000000
8398,2022-11-15 11:02:01.000000,2022-11-15 22:18:33.000000
8399,2022-11-16 01:16:45.000000,2022-11-16 09:00:18.000000
8401,2022-11-16 13:18:05.000000,2022-11-17 00:11:22.000000
8402,2022-11-17 02:21:22.000000,2022-11-17 10:21:56.000000
8412,2022-11-18 15:44:21.000000,2022-11-18 18:17:29.000000
8413,2022-11-18 22:16:48.000000,2022-11-19 07:31:31.000000
8456,2022-11-21 11:32:30.000000,2022-11-21 23:25:41.000000
8471,2022-11-23 20:58:55.000000,2022-11-23 22:10:37.000000
8474,2022-11-24 06:31:25.000000,2022-11-24 14:33:54.000000
8479,2022-11-24 20:53:19.000000,2022-11-24 23:03:38.000000
8484,2022-11-25 07:52:20.000000,2022-11-25 13:49:42.000000
8489,2022-11-26 00:40:50.000000,2022-11-26 16:38:26.000000
8491,2022-11-26 22:58:05.000000,2022-11-27 07:54:47.000000
8496,2022-11-27 22:14:02.000000,2022-11-28 05:01:01.000000
8540,2023-04-06 07:39:21.000000,2023-04-06 09:32:53.000000
8541,2023-04-06 10:51:30.000000,2023-04-06 12:22:43.000000
8542,2023-04-06 15:05:04.000000,2023-04-06 17:04:07.000000
8550,2023-04-07 13:13:35.000000,2023-04-07 23:16:09.000000
8558,2023-04-09 07:00:26.000000,2023-04-09 08:01:13.000000
8559,2023-04-09 09:08:05.000000,2023-04-09 14:59:40.000000
8580,2023-04-13 02:31:35.000000,2023-04-13 06:28:50.000000
